,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2,time
0,xgb,1,Property,0.852062015,0.4346823,0.915981996,0.419308509,4.745411158
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2,time
0,xgb,2,Property,0.841432921,0.460151736,0.875825105,0.423587764,5.284244537
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2,time
0,xgb,4,Property,0.868863427,0.452603793,0.913574835,0.386895765,4.232548237
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2,time
0,xgb,8,Property,0.857695227,0.403426486,0.871812406,0.459480991,3.301404715
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2,time
0,xgb,16,Property,0.861379834,0.444715472,0.847222337,0.419786164,2.599830151
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2,time
0,xgb,32,Property,0.862095854,0.411979174,0.860384001,0.448645665,4.402891159
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2,time
0,xgb,64,Property,0.851255052,0.453851241,0.86335682,0.432552717,4.696150303
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2,time
0,xgb,128,Property,0.881464292,0.413868248,0.8602771,0.432517703,2.691881418
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2,time
0,xgb,256,Property,0.883303726,0.430338364,0.83463449,0.454638194,3.484623909
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2,time
0,xgb,512,Property,0.835771686,0.483566072,0.919919467,0.393792716,5.436589956
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2,time
0,xgb,1,Constitution,0.747589507,0.563391146,0.834002891,0.515537312,3.6486516
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2,time
0,xgb,2,Constitution,0.728105865,0.594876396,0.781435818,0.53780781,4.022439003
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2,time
0,xgb,4,Constitution,0.758966839,0.582532988,0.800979763,0.525889915,3.860260248
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2,time
0,xgb,8,Constitution,0.760386322,0.53144082,0.755101187,0.594832962,3.940144539
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2,time
0,xgb,16,Constitution,0.754288383,0.573818678,0.724266296,0.575504414,4.17612505
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2,time
0,xgb,32,Constitution,0.773591044,0.524550681,0.766768727,0.559244056,3.33391881
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2,time
0,xgb,64,Constitution,0.772574063,0.550915228,0.7667255,0.551071372,4.240478754
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2,time
0,xgb,128,Constitution,0.797846348,0.521899614,0.796931795,0.51589371,5.120252848
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2,time
0,xgb,256,Constitution,0.767696327,0.570622557,0.76969388,0.541252665,4.653344393
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2,time
0,xgb,512,Constitution,0.771207806,0.560651219,0.842084514,0.484946532,3.128108025
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2,time
0,xgb,1,Autocorr,0.725363079,0.590067483,0.788786013,0.565867312,8.112473249
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2,time
0,xgb,2,Autocorr,0.741228781,0.580580185,0.750525767,0.573781806,6.817355156
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2,time
0,xgb,4,Autocorr,0.745854752,0.598388857,0.797236174,0.530057939,7.380270004
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2,time
0,xgb,8,Autocorr,0.73718433,0.559301125,0.765090337,0.585426924,11.37275648
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2,time
0,xgb,16,Autocorr,0.760459602,0.567250361,0.693548126,0.612915718,10.35023665
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2,time
0,xgb,32,Autocorr,0.737789371,0.568708828,0.74693016,0.582564393,5.657602072
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2,time
0,xgb,64,Autocorr,0.731953684,0.596568911,0.716487446,0.60827478,8.162886143
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2,time
0,xgb,128,Autocorr,0.786267731,0.533088976,0.745174779,0.572699957,10.35477591
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2,time
0,xgb,256,Autocorr,0.768865721,0.567278598,0.743620293,0.566500169,8.540548563
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2,time
0,xgb,512,Autocorr,0.720906155,0.618331995,0.816973428,0.515685192,11.41241074
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2,time
0,xgb,1,Fragment,0.788773179,0.514941377,0.861680013,0.483558096,5.956471443
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2,time
0,xgb,2,Fragment,0.777723433,0.538555346,0.786943577,0.530362812,5.289313078
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2,time
0,xgb,4,Fragment,0.821508816,0.512030689,0.816127189,0.509833117,5.947851419
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2,time
0,xgb,8,Fragment,0.788915345,0.497842712,0.786613586,0.560077958,5.347619057
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2,time
0,xgb,16,Fragment,0.775467115,0.54988281,0.7784119,0.510990032,5.872255564
