smiles,pKi
CC(C)S(=O)(=O)n1c2CN(Cc2c3cc(ccc13)C(=O)N4CCC(C)CC4)C5CCCC5,8.377
CCCCCN1C=C(C(=O)NN(C)C)C(=O)c2ccc(Sc3ccccc3)cc12,7.111
CCCCN1C=C(C(=O)NC2CCCC2)C(=O)c3cccc(OC)c13,7.706
CNC(=O)CCCCC(C)(C)c1ccc(c(O)c1)c2cc(C)cc(C)c2,7.409
CCS(=O)(=O)n1c2CN(Cc2c3cc(ccc13)C(=O)N(C)C(C)C)C4CCCC4,6.971
CCCCCN1C=C(C(=O)NC2CCCc3ccccc23)C(=O)c4cc(Cl)ccc14,6.607
CCCCCOc1c(OC)ccc2C=C(C(=O)NCCc3ccccc3F)C(=O)Nc12,9.745
Cc1c(nn(c2ccc(Cl)cc2Cl)c1n3cccc3)C(=O)NCc4ccc(Cl)cc4,6.027
FC(F)(F)CCCS(=O)(=O)Oc1cccc2oc3c(C#N)c(ccc3c12)C(F)(F)F,5.744
CCC1COc2c(ccc3C(=O)C(=CN1c23)C(=O)NC45CC6CC(CC(C6)C4)C5)N7CCCC7,8.090
Cc1cc(C(=O)NC2CCCCC2)c(C)n1c3ccccc3,6.775
OCC1(CNS(=O)(=O)C(F)(F)F)CCN(CC1)S(=O)(=O)c2ccc(Cl)cc2S(=O)(=O)c3ccccc3F,8.523
CCCCN1N=C(S/C/1=N/C(=O)c2cc(ccc2N(\N=C\c3cccc(C)n3)C(=O)OC(C)(C)C)C(F)(F)F)C(C)(C)C,7.357
COc1ccc2c(OC(C)(C)c3cn(CCN4CCN(CC4)C(=O)c5occc5)nc23)c1,6.156
C[C@]12CCC(C1)C(C)(C)C2NC(=O)c3nn(c4ccc(Cl)cc4Cl)c5c3CCc6cc(ccc56)C7CC7,5.258
CCCCCN1C=C(C(=O)NC23CC4CC(CC(C4)C2)C3)C(=O)C(=C1C)c5ccncc5,7.438
CC12CC3CC(C)(C1)CC(C3)(C2)NC(=O)C4=CN(CCCc5ccccc5)c6ccccc6C4=O,6.796
