smiles,pKi
CCCCCN1C=C(C(=O)NC23CC4CC(CC(C4)C2)C3)C(=O)n5nc(nc15)c6occc6,7.347
OCCNC(=O)CCCCCCCCCCOc1cc(O)cc(O)c1,5.000
CC1CCN(CC1)C(=O)c2ccc3c(c2)c4CN(Cc4n3C)C5CCCC5,7.072
CCCCCN1C=C(C(=O)c2ccc3ccccc3c2)C(=O)c4ccccc14,5.890
CCCCCOC(=O)c1cc(O)c(c(O)c1)c2cc(C)cc(C)c2,5.959
CCCCCN1C=C(C(=O)NC23CC4CC(CC(C4)C2)C3)C(=O)c5cc(ccc15)c6cnn(CC(C)C)c6,7.292
CCCCCCc1ccc(OCCCCCCCCCCCC(=O)NC2CC2)cc1O,5.405
CSC(=S)N1CC(C)(C)CS/C/1=N\c2ccccc2C(C)C,8.046
CN1CCN(C)[C@@H](COc2ccc(cc2C(=O)\N=C\3/SC(=CN3C[C@H]4CCCO4)C(C)(C)C)C(F)(F)F)C1,7.602
CCCCN1N=C(S/C/1=N\C(=O)c2cc(ccc2NNC(=O)c3cccnc3)C(F)(F)F)C(C)(C)C,8.959
CCCCN1C=C(S/C/1=N\C(=O)c2cc(ccc2OC[C@@H]3CCCN3C)C(F)(F)F)C(C)(C)C,8.036
CCCc1ccc(cc1)C(=O)c2cc(O)c(c(O)c2)c3cc(Cl)cc(Cl)c3,7.223
CCC1(CCCC1)C(=O)Nc2cc(CN3CCOCC3)c(C)cn2,7.886
CN1N(CC2CC2)\C(=N/C(=O)c3cc(ccc3ONC(C)(C)C)C(F)(F)F)\C=C1C(C)(C)C,7.268
CCOC1CCN(C(=O)C23CC4CC(CC(C4)C2)C3)c5ccccc15,6.004
CCCCCN1C=C(C(=O)NC2CCCCCC2)C(=O)n3nc(nc13)N4CCN(C)CC4,6.008
CCCCCNC(=O)c1nn(c2ccc(Cl)cc2Cl)c(c1C)n3c(C)ccc3C,6.305
CCCCCCNC(=O)c1nn(c2ccc(Cl)cc2Cl)c(c1C)n3cccc3,6.416
CCCCCc1cc(OC)c2C=C(Cc3ccc(Br)cc3)C(=O)Oc2c1,6.238
CCC(C)(C)C(=O)Nc1cc(C)c(C)c(c1)S(=O)(=O)NC2CCCC2,7.027
CCCCCn1c(C)c(C(=O)c2ccc(OC)c3ccccc23)c4ccccc14,8.721
CCCCN1C=C(S/C/1=N\C(=O)c2cc(ccc2ONC(C)(C)C)C(F)(F)F)C(C)(C)C,8.174
OC1CCc2ccccc2C1NC(=O)N3C(=O)N(CCN4CCOCC4)c5ccccc35,7.292
CCCCCN1C=C(C(=O)NC23CC4CC(CC(C4)C2)C3)C(=O)C=C1C(C)(C)C,7.538
Cc1ccc(Cn2cc(cc2c3ccc(Cl)c(C)c3)C(=O)NC4CCCCC4)cc1,6.613
CCc1c(nc(c2ccccc2Cl)n1c3ccc(Br)cc3)C(=O)N[C@H]4CCCC[C@@H]4O,5.569
CCCCN1N=C(S/C/1=N\C(=O)c2cc(ccc2NNCc3ccccc3)C(F)(F)F)C(C)(C)C,7.367
CC(C)(C)c1cc(cc(c1O)C(C)(C)C)c2csc(n2)C3(CCOCC3)N4CCCCC4,7.304
Fc1ccccc1S(=O)(=O)c2ccc(OC(F)(F)F)cc2S(=O)(=O)N3CCC4(CC3)CC4NS(=O)(=O)C(F)(F)F,8.523
CC(C)(O)CCOc1ccc(cc1C(=O)\N=C\2/SC(=CN2C[C@H]3CCCO3)C(C)(C)C)C(F)(F)F,8.886
CCCCOC(=O)C1(CCC1)c2cc(O)c3[C@@H]4CC(=CC[C@H]4C(C)(C)Oc3c2)C,8.523
CC(NC(=O)N1C(=O)N(CCN2CCOCC2)c3ccccc13)c4ccc(F)cc4,6.635
Cl.Cl.Clc1ccc(cc1)n2nc(nc2c3ccc(Cl)cc3Cl)C(=O)NN4CCCCC4,5.448
C(Cn1nc(OCc2cccc3ccccc23)c4ccccc14)N5CCCC5,6.398
O=C(NC1CC1)\C=C\C=C\c2ccc3ccccc3c2,6.092
Clc1ccc(cc1)n2cc(nc2c3ccc(Cl)cc3Cl)C(=O)NN4CCCCC4,6.266
Cc1c(ncn1c2ccccc2)C(=O)NC[C@H]3C[C@@H]4C[C@H](C3)C4(C)C,6.757
Oc1cccc(OCCCCCCCCCCC(=O)NC2CC2)c1,5.268
Clc1ccc(cc1)n2c(Br)c(nc2c3ccc(Cl)cc3Cl)C(=O)NN4CCCCC4,6.127
Cn1ccnc1COc2ccc(cc2C(=O)\N=C\3/SC(=CN3C[C@H]4CCCO4)C(C)(C)C)C(F)(F)F,7.276
C\N=C(/NS(=O)(=O)N1CCCCCCC1)\N2CC(C(=N2)c3ccc(Cl)cc3)c4ccccc4,5.588
CCOC(=S)N1CC(C)(C)CS/C/1=N\c2ccccc2C(C)C,6.638
Cc1ccc(cc1)C2COc3cccc4C(=O)C(=CN2c34)C(=O)NC56CC7CC(CC(C7)C5)C6,6.385
CC1(C)Oc2cc(cc(O)c2[C@@H]3CC(=O)CC[C@@H]13)C45CC6CC(CC(C6)C4)C5,6.471
CC(C)(NC(=O)C1=CC2=C(CCCCCC2)N(CC3CCCCC3)C1=O)C(=O)NCCCCCO,8.921
CCCCCCC1(CCC1)c2cc(O)c3[C@@H]4C[C@H](O)CC[C@H]4C(C)(C)Oc3c2,8.290
CCCCCN1N=C(CC1c2ccccc2)C(=O)N[C@H]3C[C@H]4CC[C@]3(C)C4(C)C,7.697
CCCCCN1C=C(C(=O)NC23CC4CC(C)(CC(C)(C4)C2)C3)C(=O)c5ncccc15,6.587
CC(C)(NC(=O)C1=CC2=C(CCCCCC2)N(CC3CCCCC3)C1=O)C(=O)NCC(=O)N,8.222
Fc1ccc(CN2C=CC=C(C(=O)NC3CCCCCC3)C2=O)cc1,8.108
CC1CCC(CC1)NC(=O)C2=Cc3cc(cnc3N(CCN4CCOCC4)C2=O)c5cccs5,9.770
COc1ccc(COc2nn(CCN(C(C)C)C(C)C)c3ccccc23)cc1,5.114
CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCOC(CO)CO,5.523
CCCn1c(C)c(C(=O)c2cccc3cccc(I)c23)c4ccccc14,6.271
CCCn1cc(cc1c2ccccc2)C(=O)c3cccc4ccccc34,6.983
CCCNC(=O)NC1(CCN(CC1)c2ncnc3c2nc(c4ccccc4Cl)n3c5ccc(Cl)cc5)c6ccccc6,5.109
CCCCCOc1cc(\C=C\C(=O)NCCc2ccncc2)ccc1OC,7.357
CCN(CC)c1ccc(cc1)C(NC(=O)\C=C\c2ccccc2)NC(=O)\C=C\c3ccccc3,6.777
CCN1CCN(CC1)c2nc(C)nc3sc(cc23)c4ccccc4,7.086
CSc1c(nn(c2ccc(Cl)cc2Cl)c1c3ccc(Cl)cc3)C(=O)NN4CCCC4,6.198
CCCCCCc1cc(O)c2C3=C(CN(C)CC3)C(C)(C)Oc2c1,8.750
CCN(CC)C(=O)c1ccc2c(c1)nc(Cc3ccc(OCC4CC4)cc3)n2CCC(C)C,7.276
CS(=O)(=O)NC1(CCN(CC1)c2ncnc3c2nc(c4ccccc4Cl)n3c5ccc(Cl)cc5)c6ccccc6,6.023
CCCCCc1sc2ccccc2c1C(=O)c3cccc4ccccc34,6.523
CCCCCn1cc(cc1c2ccccc2C(F)(F)F)C(=O)c3cccc4ccccc34,8.086
CCCCCc1cc(O)c2[C@@H]3C=C(C)CC[C@H]3C(C)(C)Oc2c1,7.456
Clc1ccc(Cl)c(c1)C(N2CCN(CC2)C(=O)NC3CCCCC3)c4ccccc4,6.046
CC(C)C[C@@H]1COc2cccc3C(=O)C(=CN1c23)C(=O)NC45CC6CC(CC(C6)C4)C5,8.034
NCC1(CNS(=O)(=O)C(F)(F)F)CCN(CC1)S(=O)(=O)c2ccc(Cl)cc2S(=O)(=O)c3ccccc3F,6.694
CC1(C)C(C(=O)c2cn(CCN3CCOCC3)c4cccc(c24)[N+](=O)[O-])C1(C)C,6.529
Cc1c(nn(c2ccc(F)cc2F)c1n3cccc3)C(=O)NCCc4ccc(Cl)cc4Cl,6.176
CSC(=S)N1CC2(CCCCC2)CO/C/1=N\c3ccc(Cl)c4ccccc34,9.046
CC(C)(C)CNC(=O)c1ccc(Br)c(c1)S(=O)(=O)N2CCOCC2,6.347
CC1=CC[C@@H]2[C@@H](C1)c3c(O)cc(cc3OC2(C)C)C(C)(C)c4ccc(Br)cc4,8.812
CCCCCOc1ccc(cc1SCCCCC)C(=O)NCCc2ccc(N)cc2,8.721
Cc1c(nn(c2ccc(Cl)cc2Cl)c1n3c(Cl)ccc3Cl)C(=O)NCc4ccc(Cl)c(Cl)c4,6.869
CCOc1ccc(Cc2nc3cc(ccc3n2Cc4ccccn4)C(=O)N(CC)CC)cc1,7.409
CCCCCn1c(C)c(C(=O)c2ccc(CCCC)c3ccc(C)cc23)c4ccccc14,8.187
CN1N(C[C@H]2CCCO2)\C(=N\C(=O)c3cc(Cl)ccc3ONC(C)(C)C)\C=C1C(C)(C)C,7.284
C[C@@]12CC[C@@H](C1)C(C)(C)[C@H]2NC(=O)c3ccc(Br)c(c3)S(=O)(=O)N4CCCC4,8.027
CC1(C)C(C(=O)c2cn(CC3CCOCC3)c4ccc(O)cc24)C1(C)C,8.720
CCCCCCC(C)NC(=O)c1nn(c2ccc(Cl)cc2Cl)c(c1C)n3c(C)ccc3C,6.868
CC1(C)C2CC[C@](C)(C2)[C@@H]1NC(=O)C3=CN(CCCCO)c4cc(F)ccc4C3=O,7.818
C[C@@H]1CCC2=C(C1)Oc3c(C)c(O)ccc3C2(C)C,6.000
O=C(c1ccccc1)n2c3ccccc3c4nnc(SCc5ccccc5C#N)nc24,6.523
CC(C)(O)COc1ccc(cc1C(=O)\N=C\2/Sc3ccncc3N2CCCC(F)(F)F)C(F)(F)F,8.076
CC(C)(C)NOc1ccc(cc1C(=O)\N=C\2/SC(=NN2CC3CCO3)C(C)(C)C)C(F)(F)F,7.824
O=C(Cc1ccccc1)NC(NC(=O)Cc2ccccc2)c3ccc(cc3)N4CCCC4,7.149
Brc1ccc2c(c1)c(OCc3ccc4ccccc4c3)nn2CCN5CCCCC5,5.745
CCCCCN1C=C(C(=O)NC2CCCCCC2)C(=O)n3nc(C)cc13,7.987
CCCc1ccc(C(=O)c2c(C)n(CCC)c3ccccc23)c4ccccc14,7.921
CSC(=S)N1CC2(CCCCC2)CO/C/1=N\c3ccc(c4ccccc34)[N+](=O)[O-],8.620
CCN(CC)c1ccc(CN(c2ccc(C)cc2)S(=O)(=O)c3ccc(Cl)cc3)cc1,8.523
CCCCCN1C=C(C(=O)NC2CCCCC2)C(=O)n3nc(cc13)C(C)(C)C,7.910
Brc1ccc(cc1S(=O)(=O)N2CCOCC2)C(=O)NCc3ccccc3,6.097
CCCCCCC(C)(C)c1ccc(c(OC)c1)c2cc(C)cc(C)c2,7.469
CC(C)(C)OC(=O)NNc1ccc(cc1C(=O)\N=C/2\SC(=CN2C[C@H]3CCCO3)C(C)(C)C)C(F)(F)F,9.398
CCCCCC1=NN(CC1c2ccccc2)C(=O)NC3CCCCCC3,7.703
Cc1c(nn(c2ccc(Cl)cc2Cl)c1n3c(C)ccc3C)C(=O)NC4CCCCC4,7.060
CCC(CC)(NC(=O)c1ccc(N2CC(C2)OC)c(OCC3CC3)n1)C(=O)NC,6.770
COc1cc(CNC(=O)c2nn(c3ccc(F)cc3F)c(c2C)n4c(C)ccc4C)c(Br)c(OC)c1OC,6.428
Cc1c(nn(c2ccc(F)cc2F)c1n3cccc3)C(=O)NCc4ccc(Cl)cc4,5.469
CCN(CC)c1ccc(CN(c2ccc(Cl)cc2)S(=O)(=O)c3ccc(OC)cc3)cc1,7.854
CCCn1c(C)c(C(=O)c2ccc(CC)c3ccccc23)c4ccccc14,7.921
O=C(c1occc1)n2c3ccccc3c4nnc(SCc5ccccc5C#N)nc24,6.310
CC1CCC(CC1)NC(=O)C2=Cc3cccnc3N(CCCCF)C2=O,8.866
COc1ccc(CCNC(=O)c2nn(c3ccc(Cl)cc3Cl)c(c2C)n4c(C)ccc4C)cc1Cl,5.458
OC(=O)c1ccccc1NC(=O)C2=CC3=C(CCCCCC3)N(CC4CCCCC4)C2=O,6.742
CCCCCC1=NN(CC1c2ccccc2)C(=O)Nc3ccccc3C(F)(F)F,7.824
CC(C)(OC(=O)c1ccc(C2CCCC2)c(OCC3CC3)n1)c4cc(N)on4,6.454
CCCCCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c5cc(ccc15)c6cccs6,8.196
CCN(CC)c1ccc(CN([C@@]23C[C@@H]4C[C@@H](C[C@@H](C4)C2)C3)S(=O)(=O)c5ccc(F)cc5)cc1,7.602
CCOc1ccc(Cc2nc3cc(ccc3n2CC4CCC4)C(=O)N(CC)CC)cc1,8.796
CCCCCCC(C)(C)c1cc(O)cc(OCCCCCCCCCCCC(=O)NCC2CC2)c1,6.211
CCCCCCC(C)(C)c1cc(O)cc(OCCCCCCCCCCC(=O)NCCO)c1,7.511
CSC(=S)N1CC2(CCCCC2)CS/C/1=N\c3ccccc3C(F)(F)F,8.959
CC1CCCCC1C(=O)Nc2ccc(C)c(CN3CCOCC3)c2,7.155
CSC(=S)N1CC2(CCCCC2)CO/C/1=N\c3cc(on3)C(C)(C)C,8.328
CCC(C)(C)C(=O)Cc1cc(C)c(C)c(c1)S(=O)(=O)N2CCCCC2,8.569
Cc1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(C)n1c5ccccc5,8.120
CC1(C)C(C(=O)c2cn(CC3CCOCC3)c4ccc(OCc5ccccc5)cc24)C1(C)C,8.893
CCOc1ccc(Cc2nc3cc(ccc3n2Cc4cc[n+]([O-])cc4)C(=O)N(CC)CC)cc1,6.231
CC1CCCC(C)C1NC(=O)c2ccc(C)c(c2)S(=O)(=O)N3CCOCC3,7.036
Cc1c(nn(c2ccc(Cl)cc2Cl)c1c3ccc(Cl)cc3)C(=O)NC4CCN(CC4)C(=O)C(F)(F)F,5.983
CCCCc1nc2ccccc2n1C(=O)c3cccc4ccccc34,6.398
CCN(CC)C(=O)c1ccc2c(c1)nc(Cc3ccc(Oc4ccccc4)cc3)n2CCC(C)C,8.310
CCCCCN1C=C(C(=O)NC23CC4CC(CC(C4)C2)C3)C(=O)c5cc(I)ccc15,7.686
CCOc1ccc(Cc2nc3cc(ccc3n2CC4CC4)C(=O)N(CC)CC)cc1,8.387
CC1CC(C)CN(C1)S(=O)(=O)c2ccc3oc(C(=O)NCc4ccccc4)c(C)c3c2,5.180
Cc1c2C(=O)N(CCc2n(c1c3ccc(Cl)cc3)c4ccc(Cl)cc4Cl)N5CCCCC5,5.886
CCCCCCC(C)NC(=O)c1nn(c2ccc(Cl)cc2Cl)c(c1C)n3cccc3,6.625
CCCCCc1cc(O)cc(OCCCCCCCCCCC(=O)NN(C)C)c1,6.738
CCN(CC)c1ccc(CN(Cc2occc2)S(=O)(=O)c3ccc(C)cc3)cc1,8.022
[11CH3]OC(=O)c1c2CCCCc2sc1NC(=O)C34CC5CC(CC(O)(C5)C3)C4,8.481
COc1ccc2c(OC(C)(C)c3cnn(CNC(=O)CN4CCN(CC4)c5ccccc5)c23)c1,5.308
CCCCOc1cc(O)cc(OCCCCCCCCCCC(=O)NC2CC2)c1,6.910
CCCCN1N(C)C(=C/C/1=N/C(=O)c2cc(ccc2ONC(C)(C)C)C(F)(F)F)C(C)(C)C,7.114
CC(C)(C)[C@H](NC(=O)N1C(=O)N(CCN2CCOCC2)c3ccccc13)C#N,8.301
O=C(c1oncc1)n2c3ccccc3c4nnc(SCc5ccccc5C#N)nc24,6.347
CN(C)C1(CCOCC1)c2nc(cs2)c3cc(cc(c3)C(C)(C)C)C(C)(C)C,6.896
Cc1c(nn(c1c2ccc(Cl)cc2Cl)c3c(Cl)cc(Cl)cc3Cl)C(=O)NN4CCCCC4,5.955
CCCCCc1cc(O)cc(OCCCCCCCCCCC(=O)NCCO)c1,6.796
CCOC(=O)\C(=C\c1cn(CCN2CCCCC2)c3ccccc13)\C(=O)c4ccccc4,5.858
CSC(=S)N1CC(C)(C)CS/C/1=N\c2ccccc2,6.500
CC1CCC(CC1)NC(=O)C2=C(O)c3cccnc3N(Cc4ccc(F)cc4)C2=O,9.125
CCCCCn1c2ccccc2c3cc(CN4CCN(C)CC4)ccc13,6.131
CC1(C)C(C(=O)c2cn(CC3CCOCC3)c4cc(Cl)ccc24)C1(C)C,8.601
CCCn1cc(C(=O)c2ccc(C)c3ccccc23)c4ccccc14,8.215
CCCCCOc1ccc2C(=O)N(CCc3ccc(N)cc3)Cc2c1OCCCCC,9.959
CC(C)(C)OC(=O)NC1(CCN(CC1)c2ncnc3c2nc(c4ccccc4Cl)n3c5ccc(Cl)cc5)c6ccccc6,4.856
CCCCCCCNC(=O)c1nn(c2ccc(F)cc2F)c(c1C)n3c(C)ccc3C,6.437
CCN(CC)c1ccc(CN(C(=O)Cc2ccccc2)[C@@]34C[C@@H]5C[C@@H](C[C@@H](C5)C3)C4)cc1,7.222
CCCCCN1C=C(C(=O)NC23CC4CC(CC(C4)C2)C3)C(=O)n5nc(CC)cc15,9.076
COC1CN(C1)c2ccc(nc2OCC3CC3)C(=O)NC4(CC(=O)N)COC4,5.993
COCCCn1c2ccccc2c3cc(ccc13)C(=O)N4CCCCC4,7.081
Cc1c(nn(c2ccc(Cl)c(Cl)c2)c1n3c(Cl)ccc3Cl)C(=O)NCc4ccc(Cl)c(Cl)c4,6.791
Cc1c(nn(c2ccc(Cl)c(Cl)c2)c1n3c(C)ccc3C)C(=O)NCc4ccc(Cl)c(Cl)c4,5.863
CS(=O)(=O)CC(=O)NC1CCCOc2c1nn(c3ccccc3Cl)c2c4ccc(Cl)cc4,4.229
CCCCCN1C=C(C(=O)NC23CC4CC(CC(C4)C2)C3)C(=O)c5cc(\C=C\c6ccccc6)ccc15,7.184
COCCn1cc(C(=O)c2cccc3ccccc23)c4cccnc14,6.700
C[C@]12CCC(C1)C(C)(C)C2NC(=O)c3nn(c4c3Cc5cc(ccc45)C6CC6)c7ccc(Cl)cc7Cl,8.222
CCC1(CC)CS\C(=N/c2ccccc2C(C)C)\N(C1)C(=S)SC,8.046
CCCCCCC(C)(C)c1cc(O)cc(OCCCCCCCC(=O)N[C@H](C)CO)c1,7.299
CC(C)CN1C=C(S/C/1=N\C(=O)c2cc(ccc2OCCN3CCCC3)C(F)(F)F)C(C)(C)C,7.495
Cc1c(nn(c2ccc(Cl)c(Cl)c2)c1n3c(C)ccc3C)C(=O)NN4CCCCC4,7.538
CC(=O)NC1CCCOc2c1nn(c3ccccc3Cl)c2c4ccc(Cl)cc4,4.686
CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)NCc1ccc(OC)cc1OC,5.398
Clc1ccc(cc1Cl)C(N2CCN(CC2)C(=O)NC3CCCCC3)c4ccccc4,6.449
OC(=O)CNC(=O)C1=CC2=C(CCCCCC2)N(CC3CCCCC3)C1=O,6.752
C[C@@]12CCC(C1)C(C)(C)[C@H]2NC(=O)C3=CN(C=C)c4cc(F)ccc4C3=O,7.818
C\N=C(/NS(=O)(=O)N(C)C)\N1CC(C(=N1)c2ccc(Cl)cc2)c3ccccc3,5.416
CCCCN1C(=O)C(=CC2=C1CCCCCC2)C(=O)NCCc3ccccc3,8.796
COc1ccc(cc1)c2sc3ccccc3c2C(=O)c4cccc5ccccc45,6.523
CCCCCn1cc(C(=O)c2cccc3ccccc23)c4cnccc14,7.300
CC(=O)\C(=N\Oc1ccc(cc1C(=O)\N=C\2/SC(=CN2C[C@H]3CCCO3)C(C)(C)C)C(F)(F)F)\C,8.481
CCN(CC)c1ccc(CN([C@@]23C[C@@H]4C[C@@H](C[C@@H](C4)C2)C3)S(=O)(=O)c5ccccc5)cc1,7.076
Cc1nc(C(=O)Nc2ccccc2C(F)(F)F)c(C)n1c3ccccc3,8.456
CC1CCCCC1C(=O)Nc2cc(CN3CCOCC3)c(C)c(c2)C(F)(F)F,7.770
CCCCCN1C=C(C(=O)NC2CCCCC2)C(=O)n3nc(nc13)c4ccc(C)cc4,7.509
CN\C(=N/S(=O)(=O)c1ccc(Cl)cc1)\C2=NN(C(C2)c3ccccc3)c4ccc(Cl)cc4Cl,6.606
CCC(C)(C)c1ccc(cc1)[C@@H]2C[C@H](O)CC[C@H]2CCCO,5.866
CCCCCN1C=C(NC(=O)C2CCCCC2)C(=O)C=C1c3ccccc3,7.292
Oc1cc(cc(O)c1c2cc(Cl)cc(Cl)c2)C(=O)C3CCCCC3,5.799
CCCCCN1C=C(C(=O)NC2CCCCCC2)C(=O)n3nc(CC)cc13,8.282
Cc1ccc(Cn2nc(C(=O)NCC3CCC4CC3C4(C)C)c5CCCc6ccc(Cl)cc6c25)cc1,7.292
CCCCCCC(C)(C)c1ccc(c(N)c1)c2cc(C)cc(C)c2,7.292
C=CCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c5cc(ccc15)c6occc6,8.242
CCS(=O)(=O)n1c2CN(CCC3CCCCC3)Cc2c4cc(ccc14)C(=O)N5CCC(C)CC5,5.703
CC(C)Oc1ccc(CN(Cc2ccccc2)S(=O)(=O)c3ccc(C)cc3)cc1,6.759
CC(C)(NC(=O)C1=CC2=C(CCCCCC2)N(CC3CCCCC3)C1=O)C(=O)N4CCC(CC4)C(=O)NS(=O)(=O)C,6.893
CCCCCn1cc(C(=O)Cc2ccccc2OC)c3ccccc13,7.481
CCCCCn1c2ccccc2c3cc(ccc13)C(=O)CN4CCS(=O)(=O)CC4,6.299
CC(C)(C)C1=CN(C[C@H]2CCCO2)\C(=N\C(=O)c3cc(ccc3OCc4ocnc4)C(F)(F)F)\S1,7.585
CCCCCCc1ccc(O)cc1OCCCCCCCCCCCNC(=O)C2CC2,6.602
COc1ccc(cc1)C(N2CCN(CC2)C(=O)NC3CCCCC3)c4ccc(Cl)cc4Cl,6.538
CCCCN1C=C(C(=O)NC23CC4CC(CC(C4)C2)C3)C(=O)C=C1c5ccccc5,7.735
Cc1ccc(NC(=O)C2CCCCC2(C)C)cc1S(=O)(=O)N3CCOCC3,7.959
Clc1ccc(cc1)c2c3OCCCC(N4CCCC4=O)c3nn2c5ccccc5Cl,4.121
CCN(CC)c1ccc(CN(c2ccc(C)cc2)S(=O)(=O)c3ccc(C)cc3)cc1,8.268
CCCCCCc1ccc(OCCCCCCOC(CO)CO)cc1O,5.947
CCOc1ccc(Cc2nc3cc(NC(=O)c4ccccc4)ccc3n2CCC(C)C)cc1,5.367
CC1=CC[C@@H]2[C@@H](C1)c3c(O)cc(cc3OC2(C)C)C(C)(C)c4cccc(c4)C#N,9.041
CN(C)CCN1C(=O)N(C(=O)N[C@H](C(=O)N)C(C)(C)C)c2ccccc12,6.471
CCCCCN1C=C(C(=O)NC23CC4CC(CC(C4)C2)C3)C(=O)c5cc(ccc15)c6cc(C)c(OC)c(C)c6,7.668
CCN(CC)c1ccc(CN(c2ccc(C)cc2)S(=O)(=O)c3ccc(OC)cc3)cc1,9.301
CN1CCN(CC1)NC(=O)c2cnn(c3ccc(Cl)cc3Cl)c2c4ccc(Br)cc4,4.523
O=C(NC1CCCC1)C2=CN3C(COc4cccc(C2=O)c34)c5ccccc5,7.009
CCC(C)(C)C(=O)Nc1cc(CN2CCOCC2)c(C)cc1C,6.276
CC1(C)C(C(=O)c2cn(CCCO)c3ccccc23)C1(C)C,8.674
O=C(c1cn(CCN2CCOCC2)c3ccccc13)C45CC6CC(CC4C6)C5,7.644
CCN(CC)c1ccc(CN(Cc2ccccc2)Cc3ccccc3)cc1,6.824
CCOc1ccc(Cc2nc3cc(ccc3n2CC4CC4)N(C)C(=O)N(C)C)cc1,7.387
CCCCCN1C=C(C(=O)NC23CC4CC(CC(C4)C2)C3)C(=O)n5nc(nc15)c6cccnc6,6.642
CC1(C)C(C(=O)c2cn(CCCCO)c3ccccc23)C1(C)C,8.659
CC(C)(C)[C@@H](CO)NC(=O)N1C(=O)N(CCN2CCOCC2)c3ccccc13,7.824
CCCCN1N=C(S/C/1=N/C(=O)c2cc(ccc2NNC(=O)OC(C)(C)C)C(F)(F)F)C(C)(C)C,9.000
CCN1C=C(C(=O)N[C@H]2[C@]3(C)CCC(C3)C2(C)C)C(=O)c4ccc(F)cc14,8.137
O=C(NC1CCCCC1)C2=Cc3ccccc3N(CCN4CCOCC4)C2=O,8.046
C\C(=N/O)\COc1ccc(cc1C(=O)\N=C\2/SC(=CN2C[C@H]3CCCO3)C(C)(C)C)C(F)(F)F,8.745
CC(C)(NC(=O)C1=CC2=C(CCCCCC2)N(CC3CCCCC3)C1=O)C(=O)NCCOCCO,9.222
CCCCCOc1ccccc1c2onc(c2)C(=O)N(CC(C)C)CC(C)C,7.569
CCCCN1N=C(S/C/1=N\C(=O)c2cc(ccc2NNC(=O)c3ccncc3)C(F)(F)F)C(C)(C)C,9.097
CCCCOc1c(OC)ccc2C=C(C(=O)NCC(F)c3ccccc3)C(=O)Nc12,9.097
Cc1nc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(C)n1c5ccccc5,8.569
CCCCC1=NN(CC1c2ccccc2)C(=O)NC(C)(C)c3ccccc3,7.449
CCCCCn1c2ccccc2c3cc(ccc13)C(=O)N4CCNCC4,5.548
CCCCCC1=NN(CC1c2ccccc2)C(=O)NC34CC5CC(CC(C5)C3)C4,7.827
CCCCCn1cc(cc1c2cccc(c2)[N+](=O)[O-])C(=O)c3cccc4ccccc34,7.387
CCC(c1ccc(cc1)[C@H](C)NS(=O)(=O)C)c2ccc(Cl)cc2S(=O)(=O)c3ccc(Cl)cc3,7.119
CCCCCCC1(CCCCC1)c2ccc(c(O)c2)c3cc(C)cc(C)c3,8.770
CCCCCc1cc(O)cc(OCCCCCCOC(CO)CO)c1,6.041
CCCCCCn1cc(cc1c2ccccc2)C(=O)c3cccc4ccccc34,8.149
CCCCCN1C=C(C(=O)NC2CCCCC2)C(=O)n3nc(nc13)N(CC=C)CC=C,5.869
CC1=CC[C@@H]2[C@@H](C1)c3c(O)cc(cc3OC2(C)C)c4cccc5ccccc45,8.027
COCc1ccc2c(c1)c(cn2CC3CCOCC3)C(=O)C4C(C)(C)C4(C)C,7.592
COc1ccc2c(c1)c(CCN3CCOCC3)c(C)n2C(=O)c4cccc(Cl)c4Cl,8.041
COc1ccc(cc1)S(=O)(=O)c2cc(OC)ccc2C(=O)c3ccc(cc3)[C@H](C)NS(=O)(=O)C,7.357
COc1ccc(cc1)[C@@H]2[C@@H](CCCc3cccnc3)C(=O)N2c4ccccc4,5.962
Fc1ccc(CN2C(=O)C(=Cc3ccccc23)C(=O)NC4CCCCCC4)cc1,9.602
CC(C)(C)CO\C=N\CCCOc1ccc(cc1C(=O)\N=C\2/SC(=CN2C[C@H]3CCCO3)C(C)(C)C)C(F)(F)F,8.310
COc1cccc2C(=O)C(=CN(CCCF)c12)C(=O)NC(C)(C)C,6.125
CCCCCCN1C=C(C(=O)NC2CCCCC2)C(=O)c3ccc(C)nc13,8.097
CCCCCc1cc(OC)c2C=C(Cc3cccc(OC)c3)C(=O)Oc2c1,6.845
CCCCN1C(=O)C(=Cc2ccccc12)C(=O)NC3CCC(C)CC3,7.703
CCCn1c(C)c(C(=O)c2cc(cc3ccccc23)[N+](=O)[O-])c4ccccc14,6.845
CCCCCn1c(C)c(C(=O)Cc2ccc(F)cc2)c3ccccc13,6.107
CCOc1ccc(cc1)C(O)c2nc3cc(ccc3n2CCC(C)C)C(=O)N(CC)CC,7.244
CCCCCNC(=O)c1nn(c2ccc(Cl)cc2Cl)c(c1C)n3cccc3,6.686
CCc1ccc(cc1)C(C)(C)c2cc(O)c3[C@@H]4CC(=CC[C@H]4C(C)(C)Oc3c2)C,9.174
