Title,act4,docking_score
362,0,-9.144
363,0,-7.957
365,0,-10.747
366,0,-10.431
367,0,-12.039
368,0,-8.57
369,0,-8.209
370,0,-8.921
371,0,-8.703
372,0,-9.666
373,0,-8.265
374,0,-9.458
375,0,-9.825
376,0,-9.584
377,0,-8.732
378,0,-9.959
380,0,-7.622
381,0,-9.289
382,0,-8.846
383,0,-8.907
384,0,-10.238
385,0,-10.276
386,0,-9.926
387,0,-9.609
388,0,-8.696
389,0,-8.727
390,0,-8.033
391,0,-9.071
392,0,-11.021
393,0,-9.229
394,0,-8.064
395,0,-5.881
396,0,-10.109
397,0,-9.444
398,0,-8.975
399,0,-9.826
400,0,-9.315
401,0,-10.233
402,0,-10.164
403,0,-10.667
404,0,-8.894
405,0,-9.016
406,0,-9.417
407,0,-9.8
408,0,-8.716
409,0,-10.328
410,0,-8.388
411,0,-9.557
412,0,-7.754
413,0,-9.563
414,0,-11.14
416,0,-12.58
417,0,-9.504
418,0,-11.596
419,0,-11.573
420,0,-9.895
421,0,-10.439
422,0,-10.523
423,0,-10.033
424,0,-10.519
425,0,-10.211
426,0,-8.844
427,0,-9.827
428,0,-11.384
429,0,-11.727
430,0,-9.719
431,0,-9.829
432,0,-9.904
433,0,-10.529
434,0,-11.076
435,0,-10.164
436,0,-9.784
437,0,-9.858
438,0,-9.359
439,0,-10.505
440,0,-9.281
441,0,-9.802
442,0,-10.161
443,0,-9.973
444,0,-9.8
445,0,-10.142
446,0,-8.982
447,0,-7.88
448,0,-8.785
449,0,-7.061
450,0,-7.209
451,0,-3.35
452,0,-10
453,0,-7.525
454,0,-7.708
455,0,-10.326
456,0,-10.033
457,0,-10.012
458,0,-10.254
459,0,-8.702
460,0,-8.64
461,0,-8.185
462,0,-9.463
463,0,-7.997
464,0,-8.033
465,0,-8.265
466,0,-8.125
467,0,-8.48
468,0,-7.736
469,0,-9.191
470,0,-7.398
471,0,-10.098
472,0,-9.871
473,0,-7.105
474,0,-10.342
475,0,-8.717
476,0,-8.882
477,0,-8.753
478,0,-8.428
479,0,-6.132
480,0,-6.662
481,0,-7.258
482,0,-7.091
483,0,-8.871
484,0,-9.745
485,0,-8.394
486,0,-8.919
487,0,-7.215
488,0,-7.812
489,0,-9.797
490,0,-8.065
491,0,-8.261
492,0,-8.519
493,0,-8.306
494,0,-7.669
495,0,-8.881
496,0,-9.46
497,0,-8.183
498,0,-7.485
499,0,-7.352
500,0,-7.354
501,0,-8.389
502,0,-8.778
503,0,-7.122
504,0,-8.226
505,0,-8.64
506,0,-8.781
507,0,-9.185
508,0,-9.925
509,0,-9.304
510,0,-9.094
511,0,-8.634
512,0,-8.589
513,0,-9.284
514,0,-9.036
515,0,-9.032
516,0,-9.282
517,0,-8.089
518,1,-10.452
519,1,-10.456
520,1,-11.348
521,1,-8.917
522,1,-8.887
523,1,-9.147
524,1,-9.578
525,1,-10.115
526,1,-10.75
527,1,-9.544
528,1,-9.058
529,1,-7.742
530,1,-9.468
531,1,-11.363
532,1,-10.443
533,1,-10.439
534,1,-8.782
535,1,-8.957
536,1,-10.04
538,1,-11.479
539,1,-9.968
540,1,-8.755
541,1,-8.436
542,1,-8.336
543,1,-8.437
544,1,-10.693
545,1,-8.872
546,1,-9.46
547,1,-10.23
548,1,-9.778
549,1,-10.035
550,0,-11.133
551,0,-8.542
552,0,-10.2
553,0,-11.344
554,0,-10.742
555,0,-10.329
556,0,-9.221
557,0,-4.225
558,0,-9.619
559,0,-9.635
560,0,-7.878
561,0,-9.664
562,0,-8.919
563,0,-9.153
564,0,-9.51
565,0,-9.97
566,0,-8.735
567,0,-10.563
568,0,-10.228
569,0,-11.38
570,0,-11.017
571,0,-9.042
572,0,-10.644
573,0,-10.783
574,0,-9.166
575,0,-8.968
576,0,-10.081
577,0,-9.538
578,0,-8.857
579,0,-10.301
580,0,-10.421
581,0,-10.885
582,0,-8.674
583,0,-9.717
